STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,color,military
6,6,606,Congressional District 6,C2,116,G5200,N,453544934,10601204,38.5940335,-121.4797679,,3
6,39,639,Congressional District 39,C2,116,G5200,N,531445171,1078797,33.9386493,-117.8258358,,1
17,14,1714,Congressional District 14,C2,116,G5200,N,-158203347,63294101,42.0255473,-88.4458531,,5
47,1,4701,Congressional District 1,C2,116,G5200,N,10730877769,204163863,36.2125013,-82.799917,,8
47,3,4703,Congressional District 3,C2,116,G5200,N,11837064719,372167533,35.7616459,-84.5094443,,8
47,5,4705,Congressional District 5,C2,116,G5200,N,-1062506936,72095867,36.1873306,-87.0740252,,3
47,4,4704,Congressional District 4,C2,116,G5200,N,15500357323,242150169,35.5358725,-87.2770081,,12
6,11,611,Congressional District 11,C2,116,G5200,N,1268371789,101766052,37.9038693,-122.0009326,,2
41,1,4101,Congressional District 1,C2,116,G5200,N,7786815748,771013213,45.7211995,-123.3412706,,10
41,3,4103,Congressional District 3,C2,116,G5200,N,-1512096213,82267862,45.3899979,-122.1990897,,5
41,5,4105,Congressional District 5,C2,116,G5200,N,13439639550,1207538177,45.0283647,-123.1951639,,12
23,1,2301,Congressional District 1,C2,116,G5200,N,8512096974,4733548431,43.8460537,-69.9152497,,12
23,2,2302,Congressional District 2,C2,116,G5200,N,71375329063,7013001333,45.510001,-69.0853097,,38
47,7,4707,Congressional District 7,C2,116,G5200,N,23726991266,415476120,35.6333893,-87.8333421,,14
47,2,4702,Congressional District 2,C2,116,G5200,N,6013499673,278544192,36.0503605,-83.8211884,,3
17,5,1705,Congressional District 5,C2,116,G5200,N,247592486,1850633,41.9303655,-87.830902,,1
17,16,1716,Congressional District 16,C2,116,G5200,N,20503968767,183129836,41.3915234,-88.7991966,,13
17,13,1713,Congressional District 13,C2,116,G5200,N,15004637044,216308900,39.5156354,-89.5198424,,6
17,ZZ,17ZZ,Congressional Districts not defined,0,116,G5200,F,922,-224777365,41.7736686,-87.5663499,,0
6,50,650,Congressional District 50,C2,116,G5200,N,7222573192,40261060,33.1135481,-116.6225898,,5
6,23,623,Congressional District 23,C2,116,G5200,N,25636803430,99793011,35.6106838,-118.5390568,,13
6,8,608,Congressional District 8,C2,116,G5200,N,85132866565,444227838,35.6625568,-116.8195456,,21
17,17,1717,Congressional District 17,C2,116,G5200,N,17949060604,346793272,41.3894669,-90.2186532,,16
17,6,1706,Congressional District 6,C2,116,G5200,N,980857787,27754091,42.0671182,-88.4044355,,2
17,3,1703,Congressional District 3,C2,116,G5200,N,613376406,13496849,41.6789774,-87.8919745,,2
17,10,1710,Congressional District 10,C2,116,G5200,N,777404163,31605644,42.2800147,-87.9399419,,3
17,4,1704,Congressional District 4,C2,116,G5200,N,135804048,966145,41.886297,-87.920561,,0
13,3,1303,Congressional District 3,C2,116,G5200,N,9935874355,215086398,33.1505217,-84.728664,,12
13,10,1310,Congressional District 10,C2,116,G5200,N,18384949315,459100029,33.4242062,-83.062309,,11
13,4,1304,Congressional District 4,C2,116,G5200,N,1287444270,21757037,33.6976377,-84.0514329,,1
13,5,1305,Congressional District 5,C2,116,G5200,N,686276539,5016095,33.7069846,-84.4011185,,2
13,13,1313,Congressional District 13,C2,116,G5200,N,1849961415,25795622,33.6291014,-84.5664533,,0
13,9,1309,Congressional District 9,C2,116,G5200,N,13498994850,410740104,34.5061129,-83.6870501,,10
6,51,651,Congressional District 51,C2,116,G5200,N,12410851100,869815412,32.9955751,-115.5255338,,8
6,28,628,Congressional District 28,C2,116,G5200,N,565796768,2403435,34.2500576,-118.291452,,1
6,1,601,Congressional District 1,C2,116,G5200,N,72746795133,1948066307,40.731988,-121.510516,,32
13,7,1307,Congressional District 7,C2,116,G5200,N,1017219867,25241077,34.040192,-84.0829587,,1
13,2,1302,Congressional District 2,C2,116,G5200,N,24942492103,438955826,31.8162371,-84.4190306,,16
13,6,1306,Congressional District 6,C2,116,G5200,N,774251171,13986249,34.0130516,-84.3456624,,1
13,14,1314,Congressional District 14,C2,116,G5200,N,9383986863,51880746,34.4305862,-85.0978762,,6
21,2,2102,Congressional District 2,C2,116,G5200,N,18601779924,388832054,37.5446206,-85.9904901,,10
21,6,2106,Congressional District 6,C2,116,G5200,N,11129720603,115148400,38.0534473,-84.1547782,,8
22,1,2201,Congressional District 1,C2,116,G5200,N,10436304503,14398936017,29.636492,-89.905361,,5
22,3,2203,Congressional District 3,C2,116,G5200,N,18087979520,5594833099,29.9270215,-92.4364185,,14
22,5,2205,Congressional District 5,C2,116,G5200,N,37429870551,1118524221,31.7664463,-91.8235236,,27
18,3,1803,Congressional District 3,C2,116,G5200,N,10826780348,135299678,41.0967951,-85.2362774,,10
18,5,1805,Congressional District 5,C2,116,G5200,N,4985326169,40864910,40.2486316,-85.8695988,,8
18,4,1804,Congressional District 4,C2,116,G5200,N,16450662934,70295098,40.3810879,-86.8594124,,17
18,7,1807,Congressional District 7,C2,116,G5200,N,787296961,4586270,39.7468732,-86.1390065,,3
13,1,1301,Congressional District 1,C2,116,G5200,N,21047628166,2075874473,31.3174384,-81.9425449,,12
17,11,1711,Congressional District 11,C2,116,G5200,N,725929838,16218367,41.6422523,-88.1474167,,2
17,9,1709,Congressional District 9,C2,116,G5200,N,272986457,1558240,42.0526844,-87.8101853,,0
17,15,1715,Congressional District 15,C2,116,G5200,N,38062630857,353131952,38.9051694,-88.4420793,,26
47,8,4708,Congressional District 8,C2,116,G5200,N,17738523374,387103686,35.8508609,-89.1018305,,12
6,40,640,Congressional District 40,C2,116,G5200,N,149408223,1743216,33.9698668,-118.1792067,,0
6,12,612,Congressional District 12,C2,116,G5200,N,100885569,211661576,37.7855141,-122.4340005,,0
6,45,645,Congressional District 45,C2,116,G5200,N,856078764,5161857,33.7142584,-117.6683553,,0
19,3,1903,Congressional District 3,C2,116,G5200,N,22761240612,156751435,41.2095427,-94.6403809,,17
13,11,1311,Congressional District 11,C2,116,G5200,N,-1521864120,70586962,34.1804322,-84.6514936,,3
13,12,1312,Congressional District 12,C2,116,G5200,N,21267218363,310156061,32.4133308,-82.2238419,,17
