long,lat
145.7299841,15.120255
145.2411253,14.17435519
145.7686111,18.12444444
145.61935,14.99920278
-73.12616667,41.16347222
-72.50578722,41.38370944
-73.48219444,41.37152778
-71.90097222,41.81975
-72.4556425,41.44565444
-72.45711111,41.92541667
-72.04513889,41.33005556
-72.64944444,41.73672222
-72.44230778,41.58954333
-72.82947833,41.50871472
-72.88680556,41.26375
-73.46208333,41.56916667
-73.13525,41.47855556
-72.86469444,41.68933333
-72.05436111,41.95569444
-72.77694444,41.91619444
-72.57638889,41.92841667
-73.04677389,41.63343028
-72.18022222,41.74402778
-72.68337128,41.93914511
-77.03769894,38.85191631
-77.45994444,38.94744444
-77.51510119,38.72102308
-75.59666667,39.21833333
-75.48541667,39.20230556
-75.61277778,38.84952778
-75.53397222,39.01288889
-75.35930425,38.68763219
-75.59435167,38.54218444
-75.72366667,39.52102778
-75.58380556,39.30366667
-75.60663889,39.67872222
-75.58441667,39.11733333
-85.02737736,29.72754894
-84.91559894,29.64458403
-81.5819645,28.70747442
-81.83722831,27.19560861
-82.50877778,29.61891667
-81.52896683,27.59129989
-81.78341667,27.94336111
-80.66080556,26.69830556
-85.11379583,30.48720972
-80.10769444,26.3785
-85.60138889,30.84577778
-82.45541667,28.47361111
-82.49648472,28.33028278
-84.70111111,29.842
-83.05047222,29.13422222
-82.75905694,27.97721389
-81.05105556,26.73516667
-86.52211111,30.77883333
-83.10475,29.63552778
-82.57411111,28.86761111
-81.05805556,29.17991667
-86.15377778,30.73111111
-81.28375,29.06702778
-81.31419444,29.10411111
-86.47147292,30.40005486
-82.37661886,29.06176694
-82.37401778,26.99008056
-81.63008333,28.84333333
-81.39027778,25.84886111
-81.46119444,30.61183333
-80.14969444,26.07166667
-80.17070628,26.19727936
-81.86325,26.58661111
-81.75516667,26.53616667
-80.37263889,27.49747222
-82.27177778,29.69005556
-82.66395833,29.72013889
-81.90634306,30.68596667
-80.24072222,26.00122222
-80.5542445,25.49923064
-81.40137731,26.43382081
-80.441,27.0375
-82.31827778,28.80361111
-81.80594444,30.27777778
-81.68783333,30.49405556
-81.87716667,30.21877778
-81.51444444,30.33633333
-82.04752778,29.84475
-81.75955556,24.55611111
-81.42827778,26.74058333
-82.57686111,30.18205556
-82.04397389,27.93335806
-82.01855556,27.98891667
-81.62041667,27.89388889
-81.60141667,27.95380556
-81.80841667,28.82288889
-83.02438889,30.30038889
-81.05136111,24.72619444
-81.67252778,25.99502778
-85.18188889,30.83780556
-80.64525694,28.10275278
-80.68547222,28.34161111
-80.43322461,25.64756372
-80.897,25.86180556
-80.29011111,25.79536111
-80.27822222,25.90741667
-86.99365278,30.63762083
-81.77563878,26.15244153
-86.82919444,30.40630556
-80.94891667,29.05569444
-80.92477778,28.97891667
-82.22411464,29.17187678
-80.85038889,27.26658333
-81.309,28.42938889
-81.23491667,28.77697222
-81.43708333,28.28980556
-81.33291667,28.54547222
-81.11380556,29.30113889
-80.69336111,26.78502778
-81.68950306,29.65838247
-81.20871811,29.46570025
-82.51991667,27.64259722
-84.39539167,29.98945556
-85.79561111,30.35825
-87.38530556,30.53188889
-87.34888889,30.39825
-87.18661222,30.47342556
-83.58058333,30.06927778
-81.45933333,29.25002778
-82.16330556,28.00016667
-80.11120806,26.24740081
-85.28908472,29.75854361
-81.99092581,26.91893767
-81.91630556,26.96861111
-84.557425,30.59787083
-81.20391667,27.77933333
-81.33972222,29.95925
-82.62697222,27.76511111
-82.68754469,27.90999928
-82.55438889,27.39544444
-80.49558333,27.81325
-81.34238889,27.45638889
-80.22130556,27.18169444
-84.37383333,30.54730556
-84.35086111,30.39675
