long,lat,,,
-121.1346664,44.6335107,,,
-121.1364011,44.63454043,,,
-123.0514273,44.0758624,,,
-123.090739,44.09307786,,,
-123.0910044,44.10121862,,,
-118.7451817,45.66906945,,,
-123.2133389,44.2190827,,,
-118.396084,45.93881743,,,
-118.3890116,45.9451321,,,
-119.2468517,45.86436905,,,
-123.0677858,44.60746692,,,
-123.181609,44.58099053,,,
-122.6022501,45.3705672,,,
-122.5745939,45.45802899,,,
-122.5793596,45.45099451,,,
-122.5807703,45.44853349,,,
-122.4965448,45.4942055,,,
-122.6871731,45.61624575,,,
-122.7702602,47.05396986,,,
-122.482702,47.16729507,,,
-85.78894708,30.17616212,,,
-85.67855383,30.17250867,,,
-85.63066264,30.18153366,,,
-85.57035582,30.14496912,,,
-85.61604691,30.19043726,,,
-85.62161253,30.28492581,,,
-85.62391627,30.18147213,,,
-85.63020804,30.17954026,,,
-85.56726779,30.15632046,,,
-85.59028748,30.12778618,,,
-85.63088483,30.19037948,,,
-80.6712618,28.22112648,,,
-80.83216026,28.55626224,,,
-80.6455523,28.06639318,,,
-80.80354899,28.3516075,,,
-80.6074291,28.37938286,,,
-80.8068978,28.36606675,,,
-80.6831419,28.30360578,,,
-80.70187839,28.12450224,,,
-80.60687372,28.00043459,,,
-80.70488516,28.11643277,,,
-80.54583733,28.04239041,,,
-80.63718178,28.14923693,,,
-80.73657931,28.29906121,,,
-80.70669204,28.43832106,,,
-80.65744294,28.04592339,,,
-80.61632835,28.06084368,,,
-80.70283786,28.10986186,,,
-80.59015075,28.13843949,,,
-80.801464,28.356354,,,
-80.58258533,28.12738764,,,
-80.78268501,28.50621901,,,
-80.66465623,28.04819368,,,
-80.87307123,28.74673189,,,
-80.50059259,27.87392436,,,
-80.71137133,28.37303114,,,
-80.66199728,28.352392,,,
-80.6617879,28.19808537,,,
-80.49931326,27.87047074,,,
-80.64820077,28.1382064,,,
-80.66493263,28.36138657,,,
-80.77846843,28.49820619,,,
-80.77717148,28.4298271,,,
-80.75802185,28.36583012,,,
-80.84830828,28.59699406,,,
-80.64795008,28.13959899,,,
-80.69333871,28.13658244,,,
-80.80320652,28.55567395,,,
-80.1693997,25.99016901,,,
-80.11589809,26.28832932,,,
-80.19011726,26.1707845,,,
-80.32433828,26.1073641,,,
-80.2116492,26.2628382,,,
-80.17942623,26.31424929,,,
-80.18462963,26.3147401,,,
-80.2205075,26.08035875,,,
-80.16901598,26.23800954,,,
-80.16825313,25.9826535,,,
-80.29718498,25.959932,,,
-80.11433362,26.26915663,,,
-80.12096,26.29238764,,,
-80.11165495,26.28884489,,,
-80.3161615,26.1120141,,,
-80.16531287,26.08566357,,,
-80.18116488,26.1633594,,,
-80.25793819,26.06117259,,,
-80.21220208,26.00482915,,,
-80.16683767,26.0288586,,,
-80.23566625,26.06767831,,,
-80.17564036,25.99741184,,,
-80.32719686,26.10934256,,,
-80.25721925,26.06262881,,,
-80.1459297,26.20941216,,,
-80.31989976,26.11227847,,,
-80.29312343,26.10363102,,,
-80.17468359,25.98454809,,,
-80.12196575,26.32436532,,,
-80.17075504,26.04678576,,,
-80.24458213,26.06193952,,,
-80.21073618,26.06307631,,,
-80.32808612,26.11369673,,,
-80.17393684,26.3117324,,,
-80.12747702,26.32562619,,,
-80.32399413,26.1134991,,,
-82.04343427,26.91945503,,,
-82.20989386,26.98052955,,,
-82.0536058,26.9067067,,,
-82.04661121,26.96897567,,,
-82.02209514,26.88583745,,,
-82.04392821,26.90379183,,,
-82.00479621,26.95243885,,,
-82.02606406,26.88040401,,,
-82.04829513,27.01307415,,,
-82.00248235,26.8790036,,,
-82.05624333,27.00046575,,,
-81.92679871,26.77155159,,,
-82.02459153,26.88214124,,,
-81.99402814,26.88152349,,,
-82.03208499,26.80141127,,,
-81.98630965,26.8942843,,,
-82.00067931,26.9306945,,,
-82.00326312,26.94921718,,,
-81.98575415,26.90141468,,,
-82.21106054,26.97419026,,,
-82.31777522,26.93550209,,,
-82.58538955,28.84932587,,,
-82.29046487,28.85875609,,,
-82.58051034,28.85085106,,,
-82.32959589,28.84231859,,,
-82.28878197,28.77169806,,,
-82.48974139,28.8221299,,,
-82.56828251,29.00473885,,,
-82.2251897,28.85241901,,,
-82.43301599,28.96423217,,,
-82.30077189,28.78266404,,,
-82.58204168,28.860249,,,
-82.61081754,28.92387961,,,
-82.54609556,28.7109504,,,
-82.58282511,28.80630145,,,
-81.79753594,26.29561272,,,
-81.44050031,26.42807721,,,
-81.76311338,26.11937067,,,
-81.69524618,26.05451118,,,
-81.79639834,26.29355317,,,
-81.68554706,26.04553047,,,
-81.80583044,26.28047936,,,
-81.74054504,26.15629743,,,
-81.714469,26.069482,,,
-81.7381699,26.15129705,,,
-81.79718351,26.2991786,,,
-81.72773575,26.11161218,,,
-81.66470455,26.04078466,,,
-82.65955281,30.11713561,,,
-82.57342106,29.96723175,,,
-80.47210124,25.46485851,,,
-80.16856482,25.88089364,,,
-80.25539411,25.81299526,,,
-80.21489525,25.86409126,,,
-80.36012203,25.8867471,,,
-80.49527339,25.44448879,,,
-80.28304991,25.95560306,,,
-80.2448171,25.84445578,,,
-80.43478062,25.50138225,,,
-80.37796884,25.7720904,,,
-80.31631017,25.84703446,,,
-80.25474069,25.84403132,,,
-80.30835061,25.7603214,,,
-80.40709916,25.50175872,,,
-80.47298182,25.5477959,,,
-80.26415155,25.95580602,,,
-80.28890853,25.95736515,,,
-80.47294065,25.54960877,,,
-80.3135109,25.84882004,,,
-80.46604923,25.4708928,,,
-80.22057461,25.84562577,,,
-80.40458139,25.75603197,,,
-80.30937371,25.84664972,,,
-81.88957841,27.22945915,,,
-81.9229799,27.20781988,,,
-81.83860603,27.23209233,,,
-81.8150735,27.21315224,,,
-81.41817922,30.34740498,,,
-81.84116113,30.28070147,,,
-81.8246083,30.24462792,,,
-81.72062791,30.19860556,,,
-81.75069352,30.22257256,,,
-81.53665596,30.28095191,,,
-81.80918339,30.24314352,,,
-81.62057463,30.27214725,,,
-81.85106832,30.30754879,,,
-81.80615079,30.28884084,,,
-81.86973231,30.30161759,,,
-81.80232345,30.28950032,,,
-81.79654757,30.21287364,,,
-81.41961434,30.36575949,,,
-81.62024909,30.47214329,,,
-81.71573845,30.19718337,,,
-81.72428818,30.23608297,,,
-81.82701926,30.31863245,,,
-81.80778356,30.24991161,,,
-81.77997659,30.25017197,,,
-81.62709176,30.28062035,,,
-81.45067314,30.29594567,,,
-81.74595924,30.40723112,,,
-81.74320187,30.20608565,,,
-81.81026187,30.25123478,,,
-81.65077264,30.36972608,,,
-81.77460019,30.32382699,,,
-87.31926018,30.42103267,,,
-87.29367301,30.42647457,,,
-87.2634263,30.54161274,,,
-87.17207957,30.49791067,,,
-87.31138408,30.5455309,,,
-87.26513422,30.46819044,,,
-87.29545095,30.45463966,,,
-87.31157265,30.44359233,,,
