long,lat
-86.87116266,33.49798507
-86.27076575,32.4046374
-88.21097217,30.7105704
-147.7557856,64.86476859
-151.6774528,60.03622016
-149.1287112,61.58171739
-112.0967364,33.46958159
-92.29907623,34.72170809
-121.4278566,38.59069166
-120.6862028,35.63855433
-104.6400357,38.24905671
-75.57429862,38.91256377
-82.36244552,27.99054207
-83.61203927,32.83035673
-112.3404626,43.19496297
-89.64200557,39.8368151
-86.13499,39.82749992
-93.55449735,41.5962248
-97.92505578,38.0767112
-85.74199992,38.20035005
-93.78936377,32.47666755
-68.78251196,44.79037904
-69.72901698,44.7774731
-76.63001302,39.443716
-72.61861406,42.09124204
-83.11468298,42.44309305
-93.17305257,44.98125883
-93.25755695,38.69295502
-90.17186994,32.30011703
-111.3174351,47.51444304
-119.8016574,39.54235808
-71.721474,43.23275504
-74.71626038,41.13257867
-106.572407,35.08240796
-76.22217169,43.07262659
-101.2590694,48.23304429
-78.71019991,35.79397001
-82.99068614,39.99911103
-97.57361536,35.47048815
-123.0062682,44.95896351
-81.02146793,33.97830592
-98.23176898,44.36479269
-86.76359806,36.13096394
-96.75935736,32.77673739
-97.13875703,33.23361109
-111.9249232,40.77438386
-72.97221115,43.59506453
-122.2958475,47.18243379
-121.9887641,47.86796795
-120.483929,46.58852202
-80.46094771,37.77665132
-88.01439447,43.01799899
-105.391947,42.75813689
-135.4614199,59.23168517
-83.74920119,32.4373878
-84.5915155,33.8987412
-116.2744963,43.6521737
-89.22552345,37.98237301
-90.99754809,30.34528381
-87.0823264,45.7588808
-98.3298373,40.90554159
-106.9758844,32.25875849
-108.6957866,36.7741011
-82.5328493,35.42838869
-95.9307194,36.1344435
-76.88381899,40.28647359
-83.88297797,35.9990176
-94.17789095,30.0106119
-95.32444295,32.3460121
-77.42393795,37.8523559
-122.4743634,48.9366601
-90.17426729,44.65237147
-91.39611781,44.94691807
-109.067828,35.66094157
