long,lat
-116.18099,43.59974
-116.14697,43.52925
-79.43739,36.09317
-121.95694,37.4886
-121.97965,37.49628
-121.89039,37.71041
-122.27237,37.80348
-80.2658,40.50779
-79.99485,40.44136
-80.00437,40.43329
-80.00051,40.44129
-80.00357,40.43992
-85.23743,41.0411
-104.89224,39.60092
-104.88214,39.581553
-104.86745,39.5482
-104.85536,39.54506
-104.84571,39.55318
-104.84571,39.55318
-104.84492,39.54685
-77.11261,38.87985
-77.07012,38.89465
-85.92326,39.20402
-94.21763,36.36477
-94.14745,36.2453
-74.1272,40.89756
-74.20762,41.01613
-74.17075,41.07444
-74.00657,40.87398
-86.44101,42.14912
-98.47939,29.49244
-98.42136,29.624432
-98.606,29.58919
-98.45941,29.6161
-98.573,29.53455
-80.63837,28.0913
-105.0992,39.91172
-105.14427,39.9206
-80.14419,26.12002
-74.80758,40.09215
-84.52325,39.30823
-84.42792,39.32767
-85.22982,42.3523
-75.10737,39.94217
-76.24149,36.76982
-75.71159,39.84708
-115.17141,36.12198
-115.17694,36.11203
-84.46972,33.89521
-84.46577,33.87735
-84.48297,33.86197
-96.82359,33.08093
-96.80476,33.07563
-96.83171,33.0811
-96.83538,33.07438
-121.95969,37.75832
-87.85781,41.9889
-87.82337,42.09727
-87.84604,42.08769
-87.87074,42.09907
-87.621006,41.885297
-87.90225,41.84558
-88.22354,42.08016
-87.64077,41.880843
-87.62148,41.88526
-87.62429,41.8871
-87.63014,41.88133
-87.63855,41.88355
-87.629188,41.886583
-87.63598,41.8787
-87.64047,41.88235
-76.91367,40.25675
-81.69401,41.50094
-81.69359,41.49747
-81.46095,41.50688
-81.45156,41.53704
-81.89416,41.45648
-93.06283,44.86943
-93.14265,44.86743
-96.95025,32.86992
-96.94402,32.87148
-96.94977,32.89021
-96.94971,32.90331
-96.96431,32.89835
-96.98834,32.91509
-96.79636,32.78526
-96.80818,32.79448
-96.7993,32.77946
-96.80259,32.78485
-96.79212,32.80555
-96.807209,32.861433
-96.86395,32.84607
-96.75812,32.91043
-89.28863,43.1549
-76.64913,40.30256
-86.6993,36.30908
-86.81451,36.15317
-75.35803,40.04169
-75.46781,40.0692
-75.36449,40.04054
-105.00405,39.75385
-77.07715,38.94045
-77.04905,38.90158
-95.92733,41.2563
-95.96556,41.25721
-95.93518,41.25917
-88.01484,41.98806
-88.00463,41.8323
-88.00745,41.83254
-87.94548,41.84894
-87.94812,41.84962
-88.10736,41.81126
-78.84023,35.88038
-81.66411,30.32474
-81.67456,30.31897
-81.67456,30.31897
-84.64068,42.72472
-106.48934,31.75895
-78.87331,42.88876
-80.084,42.13031
-74.30939,40.81623
-74.17158,40.73666
-74.16963,40.7379
-77.34999,38.95224
-77.35907,38.95909
-77.220295,38.923544
-77.21468,38.86895
-77.21551,38.86758
-77.21557,38.92871
-77.23179,38.92229
-77.21334,38.92432
-77.22706,38.93286
-77.21557,38.92871
-73.53267,41.38683
-73.25309,41.21922
-73.62254,41.01869
-73.64796,41.01936
-73.42985,41.14499
-73.42656,41.14935
-73.42684,41.14844
-73.45417,41.09313
-73.33089,41.12544
