long,lat
-76.16326,39.508447
-106.647975,35.082061
-121.816024,38.0177
-90.624319,37.592212
-97.12551,34.172465
-82.639603,38.480875
-73.741147,42.641029
-81.092904,40.921275
-80.644856,37.724277
-84.755814,42.247196
-90.136276,38.904723
-103.661513,30.357302
-78.40162,40.514475
-77.06233,38.806503
-123.102774,44.630464
-74.2195,42.953719
-117.877308,33.803803
-83.743154,42.287692
-75.290399,40.008278
-93.053284,34.113919
-121.083187,38.903638
-77.481304,37.759596
-84.392477,33.799445
-85.832145,33.649112
-87.492747,31.024229
-97.75694,30.269449
-76.615688,39.307302
-86.111646,42.314519
-117.025435,34.90482
-89.333338,30.3142
-71.075828,42.347317
-77.29879,38.797271
-122.511255,48.720263
-110.296904,31.968758
-72.765274,41.635595
-119.00821,35.37214
-78.873748,42.878449
-86.806614,33.512801
-88.885375,30.408387
-122.300707,37.867254
-72.444597,43.13654
-94.127367,30.076458
-79.434531,36.094225
-121.46873,45.71502
-88.984306,40.50901
-71.061122,42.366235
-71.055304,42.352311
-72.556497,42.850849
-90.44107,31.582961
-69.965494,43.911245
-91.101951,40.805788
-113.013151,48.534067
-73.187539,41.178006
-85.187825,42.318453
-78.726584,42.907017
-118.353767,34.193072
-76.6943,39.192362
-84.551799,41.480319
-80.62519,34.248157
-97.382333,32.349743
-89.012609,43.340611
-117.35073,33.160989
-89.216628,37.724235
-89.136118,38.527531
-87.639443,41.878684
-88.241366,40.115843
-79.998002,32.874866
-81.638494,38.346368
-121.845861,39.723259
-84.537061,39.109927
-85.539885,30.79425
-72.377644,43.36833
-81.04049,33.994297
-81.696172,41.505787
-79.827363,37.814521
-77.993421,38.47236
-80.822812,35.241403
-119.034114,34.215933
-121.781594,43.216784
-73.171337,43.613382
-119.55705,36.098516
-85.13338,39.645969
-75.820929,39.985688
-79.592813,40.020282
-120.952913,39.098874
-119.522975,34.39678
-86.899187,40.044705
-94.361617,41.05692
-73.882394,41.189903
-89.889276,39.279295
-82.832501,34.691115
-86.55855,30.764235
-122.953062,46.71747
-78.758,39.650628
-112.331584,48.638364
-78.491684,38.031484
-74.952187,40.071663
-118.599417,34.253205
-78.782246,35.788294
-96.807235,32.776094
-79.383968,36.58409
-121.737707,38.543562
-100.016961,37.752306
-107.754346,32.27177
-104.999929,39.752959
-83.235311,42.307167
-83.072397,42.368097
-80.122147,26.317069
-70.936013,43.139328
-79.372301,34.417647
-80.091154,26.454021
-81.352477,29.017849
-95.845998,46.819692
-78.906299,35.997347
-81.143635,33.326184
-86.109041,41.980941
-70.878361,43.197968
-75.710775,40.002193
-89.240254,38.012328
-83.98232,42.909495
-100.902662,29.362202
-122.270587,41.211127
-98.861372,48.110468
-88.430707,41.089854
-87.518076,41.515413
-122.384141,47.811081
-88.54711,39.117059
-85.971848,41.680748
-115.75053,40.836483
-106.495644,31.757346
-76.612234,40.147028
-82.096685,41.370033
-122.291615,37.840474
-117.293204,33.047109
-119.549267,47.320948
-80.082444,42.120847
-113.610942,48.275543
-73.110277,44.492466
-123.092361,44.055043
-122.197858,47.975401
-74.18229,40.696618
-70.9587,42.98102
-75.621713,40.019291
-96.785372,46.880982
-78.884788,35.054993
-77.457203,38.298413
-73.58055,43.269603
-111.648871,35.197374
-83.651728,43.015425
-79.757056,34.199157
-91.336983,40.622591
-103.802818,40.247169
-122.007496,37.559093
-119.782926,36.738457
-71.420033,42.275993
-70.102358,43.855035
-73.389681,43.853788
-80.17,26.119256
-88.888772,36.525704
-97.326673,32.752563
-117.922849,33.868969
-121.967003,37.406778
-81.162366,35.269186
-90.364106,40.944678
-100.873256,37.964365
-118.258868,34.123706
-72.600765,42.585458
-97.110835,47.917522
-106.636188,48.194854
-108.569929,39.064375
-97.140896,33.625159
-87.998055,40.752547
-87.805562,42.075038
-108.740548,35.529176
-79.546893,40.304986
-83.819694,34.288897
-113.219523,48.442333
-105.935503,40.084188
-104.6885,40.424
-110.165228,38.992039
-79.78708,36.069797
-85.672447,42.955788
