ALAND,AWATER,CD116FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,NUMPOINTSairports,STATEFP,amtrak,breweries,fairgrounds,farms,fortune,hospitals,military,mobilehome,museums,result,sportsvenues,starbucks,amtrak_alpha_pct,breweries_alpha_pct,fairgrounds_alpha_pct,fortune_alpha_pct,hospitals_alpha_pct,mobilehome_alpha_pct,museums_alpha_pct,sportsvenues_alpha_pct,starbucks_alpha_pct,farms_alpha_pct,military_alpha_pct
2147483647,106706879,06,116,N,1806,+39.4752185,-085.3763377,C2,G5200,Congressional District 6,16,18,1,8,0,10531,1,21,4,161,104,R,3,10,21.25,30.0,0.0,7.083333333333333,69.54545454545455,78.05133079847909,87.52475247524752,95.625,18.47826086956522,74.90669456066946,48.57142857142857
2147483647,278478325,08,116,N,1808,+38.7330167,-087.1993471,C2,G5200,Congressional District 8,12,18,0,6,0,9529,1,23,3,111,96,R,2,10,0.0,22.5,0.0,7.083333333333333,76.16883116883116,53.81178707224335,80.79207920792079,63.75,18.47826086956522,67.77949790794979,36.42857142857142
352091648,5538110,53,116,N,0653,+32.7183139,-117.0314815,C2,G5200,Congressional District 53,1,06,1,15,0,84,0,19,3,26,63,D,2,63,21.25,56.25,0.0,0.0,62.922077922077925,12.604562737642585,53.01980198019802,63.75,116.41304347826086,0.597489539748954,36.42857142857142
560123814,1176361929,47,116,N,0647,+33.3673364,-118.4807090,C2,G5200,Congressional District 47,2,06,0,7,0,43,1,11,4,29,39,D,3,49,0.0,26.25,0.0,7.083333333333333,36.42857142857142,14.05893536121673,32.82178217821782,95.625,90.54347826086958,0.30585774058577403,48.57142857142857
566112003,5694100,31,116,N,0631,+34.1096748,-117.3533294,C2,G5200,Congressional District 31,4,06,1,13,0,181,0,15,0,89,31,D,0,44,21.25,48.75,0.0,0.0,49.675324675324674,43.146387832699624,26.08910891089109,0.0,81.30434782608695,1.2874476987447698,0.0
2147483647,456161284,03,116,N,0603,+39.0319525,-122.0895732,C2,G5200,Congressional District 3,13,06,2,12,0,6350,0,15,6,227,73,D,1,42,42.5,45.0,0.0,0.0,49.675324675324674,110.04752851711028,61.43564356435643,31.875,77.60869565217392,45.1673640167364,72.85714285714285
2147483647,33795770,21,116,N,0621,+36.0867145,-119.8515001,C2,G5200,Congressional District 21,13,06,3,3,0,5300,0,8,2,102,31,R,0,18,63.75,11.25,0.0,0.0,26.493506493506494,49.44866920152091,26.08910891089109,0.0,33.26086956521739,37.69874476987447,24.285714285714285
378015317,281882221,48,116,N,0648,+33.6229098,-117.9052749,C2,G5200,Congressional District 48,1,06,0,7,0,37,1,10,1,77,44,,0,85,0.0,26.25,0.0,7.083333333333333,33.116883116883116,37.328897338403046,37.02970297029703,0.0,157.06521739130434,0.26317991631799165,12.142857142857142
2147483647,54084843,10,116,N,0610,+37.5863232,-121.0544262,C2,G5200,Congressional District 10,4,06,2,5,0,4768,0,15,2,128,29,,0,46,42.5,18.75,0.0,0.0,49.675324675324674,62.053231939163496,24.40594059405941,0.0,85.0,33.91464435146443,24.285714285714285
2147483647,1234692466,01,116,N,0501,+35.2939086,-091.2583060,C2,G5200,Congressional District 1,46,05,1,3,0,14422,0,30,0,246,74,R,2,5,21.25,11.25,0.0,0.0,99.35064935064935,119.25855513307985,62.27722772277228,63.75,9.23913043478261,102.58326359832635,0.0
